symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOO,2010-09-10,50.89,50.93,50.648,50.84,17276,83.9360026401,84.0019770968,83.5368571765,83.8535345691,8638,0.0,1.0
VOO,2010-09-13,51.53,51.57,51.25,51.48,67505,84.9915939486,85.0575684053,84.5297727511,84.9091258776,33752,0.0,1.0
VOO,2010-09-14,51.519,51.74,51.19,51.42,118840,84.9734509729,85.3379598467,84.4308110659,84.8101641924,59420,0.0,1.0
VOO,2010-09-15,51.65,51.69,51.2,51.31,18566,85.1895173189,85.2554917757,84.4473046801,84.6287344363,9283,0.0,1.0
VOO,2010-09-16,51.63,51.66,51.35,51.51,119161,85.1565300905,85.2060109331,84.694708893,84.9586067202,59580,0.0,1.0
VOO,2010-09-17,51.68,51.94,51.51,51.94,98730,85.2389981615,85.6678321306,84.9586067202,85.6678321306,49365,0.0,1.0
VOO,2010-09-20,52.52,52.52,51.73,51.87,38012,86.6244617539,86.6244617539,85.3214662325,85.5523768312,19006,0.0,1.0
VOO,2010-09-21,52.3599,52.72,52.14,52.51,38573,86.3603989906,86.9543340378,85.9977044145,86.6079681397,19286,0.0,1.0
VOO,2010-09-22,52.08,52.52,51.98,52.28,36296,85.8987427293,86.6244617539,85.7338065874,86.2286150132,18148,0.0,1.0
VOO,2010-09-23,51.6531,52.17,51.56,51.66,66716,85.1946303393,86.0471852571,85.0410747911,85.2060109331,33358,0.0,1.0
VOO,2010-09-24,52.42,52.45,51.934,51.97,48253,86.919697448,86.9694416472,86.1138414205,86.1735344596,24126,0.279,1.0
VOO,2010-09-27,52.17,52.49,52.17,52.49,30089,86.5051624544,87.0357672462,86.5051624544,87.0357672462,15044,0.0,1.0
VOO,2010-09-28,52.51,52.51,51.71,52.159,99706,87.0689300457,87.0689300457,85.7424180663,86.4869229147,49853,0.0,1.0
VOO,2010-09-29,52.26,52.455,52.11,52.29,31780,86.6543950521,86.9777323471,86.405674056,86.7041392513,15890,0.0,1.0
VOO,2010-09-30,52.18,52.84,51.98,52.6,89414,86.5217438542,87.6161162372,86.1901158593,87.2181626434,44707,0.0,1.0
VOO,2010-10-01,52.36,52.58,52.0824,52.54,34130,86.8202090495,87.1849998439,86.3599093927,87.1186742449,17065,0.0,1.0
VOO,2010-10-04,51.92,52.63,51.75,52.63,177397,86.0906274609,87.2679068426,85.8087436653,87.2679068426,88698,0.0,1.0
VOO,2010-10-05,53.058,53.1,52.41,52.51,39671,87.9775907515,88.0472326305,86.9031160483,87.0689300457,19835,0.0,1.0
VOO,2010-10-06,52.968,53.14,52.81,53.06,553779,87.8283581539,88.1135582294,87.5663720379,87.9809070315,276889,0.0,1.0
VOO,2010-10-07,52.94,53.25,52.66,53.25,99737,87.7819302346,88.2959536266,87.3176510418,88.2959536266,49868,0.0,1.0
VOO,2010-10-08,53.3399,53.37,52.83,53.01,123038,88.4450204103,88.4949304235,87.5995348374,87.8980000328,61519,0.0,1.0
VOO,2010-10-11,53.25,53.42,53.14,53.36,28363,88.2959536266,88.5778374222,88.1135582294,88.4783490238,14181,0.0,1.0
VOO,2010-10-12,53.56,53.62,52.87,53.19,84038,88.8099770186,88.909465417,87.6658604364,88.1964652281,42019,0.0,1.0
VOO,2010-10-13,53.88,54.14,53.62,53.79,148836,89.3405818103,89.7716982036,88.909465417,89.1913492127,74418,0.0,1.0
VOO,2010-10-14,53.68,53.909,53.4,53.85,38149,89.0089538155,89.3886678696,88.5446746227,89.2908376111,19074,0.0,1.0
VOO,2010-10-15,53.78,54.04,53.36,54.02,109826,89.1747678129,89.6058842062,88.4783490238,89.5727214067,54913,0.0,1.0
VOO,2010-10-18,54.17,54.22,53.72,53.81,45697,89.8214424029,89.9043494016,89.0752794145,89.2245120121,22848,0.0,1.0
VOO,2010-10-19,53.3101,53.84,53.01,53.57,77096,88.395607839,89.2742562114,87.8980000328,88.8265584183,38548,0.0,1.0
VOO,2010-10-20,53.88,54.08,53.47,53.47,45597,89.3405818103,89.6722098052,88.6607444209,88.6607444209,22798,0.0,1.0
VOO,2010-10-21,53.96,54.378,53.655,54.13,58735,89.4732330083,90.1663355175,88.9675003161,89.7551168039,29367,0.0,1.0
VOO,2010-10-22,54.09,54.1,53.97,54.08,49693,89.6887912049,89.7053726047,89.489814408,89.6722098052,24846,0.0,1.0
VOO,2010-10-25,54.25,54.64,54.23,54.51,59126,89.9540936008,90.6007681907,89.9209308013,90.3852099941,29563,0.0,1.0
VOO,2010-10-26,54.24,54.276,53.94,53.96,29953,89.9375122011,89.9972052401,89.4400702088,89.4732330083,14976,0.0,1.0
